id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1994486,LOVELY DOUBLE BEDROOM IN SUNNY ATTIC FLAT,10280280,Tanja & Luis,Pankow,Helmholtzplatz,52.54439846,13.41760752,Private room,45,1,136,10/17/2018,2.31,1,82
1998735,"Top location apartments, mansarda",5001886,Dmitry,Pankow,Prenzlauer Berg SÃ¼dwest,52.53524647,13.41848172,Entire home/apt,50,14,0,,,1,0
2001176,BigBedroom inGroundflat with Garden,10307606,Gilles,NeukÃ¶lln,ReuterstraÃŸe,52.49268614,13.42738722,Private room,30,1,4,4/22/2014,0.07,1,185
2001327,Big apartment for the holidays,4018258,Gidi,NeukÃ¶lln,Schillerpromenade,52.48002151,13.4249061,Entire home/apt,59,3,1,12/30/2015,0.03,1,0
2002284,Quiet & Bright Artist Apartment,10311402,Sebastian,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51851298,13.45851886,Entire home/apt,50,4,18,10/16/2017,0.33,1,0
2002637,Charmante 70mÂ² Altbauwohnung in NeukÃ¶lln.,10312521,Michael,NeukÃ¶lln,Rixdorf,52.47850099,13.44371706,Private room,60,2,10,5/16/2016,0.17,1,0
2002666,COZY FLAT IN BERLIN MITTE,2013253,Kim,Mitte,Brunnenstr. SÃ¼d,52.5360646,13.40272662,Entire home/apt,78,2,2,4/1/2014,0.04,1,0
2002741,Sunny rooftop appartment,10313050,Martin,Treptow - KÃ¶penick,Alt  Treptow,52.4914067,13.44757565,Entire home/apt,68,30,17,6/29/2017,0.29,1,349
2002855,Sunny flat in Schillerkiez,6041089,Anne,NeukÃ¶lln,Schillerpromenade,52.47684531,13.42387368,Entire home/apt,50,6,4,9/10/2015,0.08,1,315
2003946,Stylish studio in Kreuzberg,6507226,Ilona,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49116923,13.4217275,Entire home/apt,55,6,23,10/22/2018,0.54,1,310
2006400,Cozy quiet room in lively  F'hain,8196953,Maggie,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.50670316,13.46536461,Private room,25,3,17,1/31/2018,0.32,2,216
2010944,Room in penthouse in Mitte ,10347564,Troy,Mitte,Alexanderplatz,52.52385133,13.39052197,Private room,60,2,60,2/23/2018,1.12,1,0
2011163,Hermannplatz Nice Room in verySunny Flat & 2 Bikes,8519321,Chris,NeukÃ¶lln,ReuterstraÃŸe,52.4868169,13.43044749,Private room,45,3,0,,,1,0
2011496,Be Central - premium sunny & trendy design room,3026156,Sabrina & John,Tempelhof - SchÃ¶neberg,SchÃ¶neberg-Nord,52.49799828,13.36170976,Private room,48,2,62,10/4/2018,1.19,1,88
2015840,,10367984,Matthieu,NeukÃ¶lln,ReuterstraÃŸe,52.48421034,13.43363164,Entire home/apt,70,3,1,1/5/2016,0.03,1,0
2016182,Cosy 2-room apartment in NeukÃ¶lln,6841431,Frank & Elin,NeukÃ¶lln,Schillerpromenade,52.47329839,13.42552566,Entire home/apt,58,2,10,5/7/2016,0.18,1,0
2019132,Villa am Berliner Stadtrand fÃ¼r bis zu 25 GÃ¤ste,10287456,Jens,Treptow - KÃ¶penick,Rahnsdorf/Hessenwinkel,52.45576836,13.72142361,Entire home/apt,390,1,40,8/30/2018,0.7,2,295
2020536,the penthouse,10203492,Naomi,Mitte,Parkviertel,52.55459283,13.34092779,Private room,49,6,0,,,1,0
2020765,Brooklyn loft at Helmholtzplatz !,4480809,Samuel,Pankow,Helmholtzplatz,52.54217106,13.41578356,Private room,64,4,11,6/26/2017,0.2,1,98
2021588,in the middle of city-west Berlin,10390346,Andreas,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.49257013,13.33575361,Entire home/apt,63,2,163,11/4/2018,2.76,1,314
2022173,"Cosy, Bright Room in Friedrichshain",10392746,Therese,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.50495333,13.46669531,Private room,50,2,5,10/13/2016,0.19,1,0
2024166,Central apartment in Prenzlberg ,10400858,Frederik,Pankow,Prenzlauer Berg SÃ¼dwest,52.53876247,13.41069486,Entire home/apt,59,2,1,12/30/2015,0.03,1,0
2024548,Cozy and central 2BD in Berlin,10402919,Uwe,Pankow,Prenzlauer Berg SÃ¼dwest,52.53677583,13.4104276,Shared room,79,2,201,10/29/2018,3.54,1,275
2025277,Beautiful Berlin Room Available !,10404654,(Email hidden by Airbnb),Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49284647,13.42050831,Private room,28,5,0,,,1,0
2026567,Beautiful 1-Room Flat in Kreuzberg,9857632,Assahli,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48739777,13.39687805,Entire home/apt,43,2,3,7/25/2018,0.29,1,0
2027037,City-West Ruhig und doch Zentral,8863481,Heike,Charlottenburg-Wilm.,Wiesbadener StraÃŸe,52.46905573,13.31689334,Entire home/apt,60,2,3,9/18/2016,0.05,1,0
2027140,Charming flat created with love,3465079,Julia,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.50989005,13.46137936,Entire home/apt,65,3,82,10/20/2018,1.51,1,247
2029012,Cosy rooftop apt. in Berlin Mitte,4391035,Danielle,Mitte,Alexanderplatz,52.52734871,13.3864743,Entire home/apt,109,10,21,10/8/2018,0.38,1,72
2030643,Spacious & clean room w/ balcony,10427437,Laura,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.46998914,13.43267518,Private room,75,2,3,10/29/2016,0.09,1,0
2031017,NeukÃ¶lln mit Garten,10428743,Francesca,NeukÃ¶lln,NeukÃ¶llner Mitte/Zentrum,52.46708412,13.43311439,Entire home/apt,50,1,1,8/3/2015,0.03,1,0
2032512,Beautiful loft in Berlin/Kreuzberg!,10434550,Darya,Friedrichshain-Kreuzberg,nÃ¶rdliche Luisenstadt,52.50223674,13.42759675,Entire home/apt,120,2,9,10/15/2018,0.18,1,304
2034446,"Berlin, NeukÃ¶lln, Room A",1259589,Alexine,NeukÃ¶lln,Rixdorf,52.4793488,13.43770732,Private room,30,3,142,10/20/2018,4.22,3,8
2035300,Zentrale Maisonette-Wohnung,10445951,Donata,Pankow,Prenzlauer Berg SÃ¼d,52.53213218,13.42367365,Entire home/apt,70,4,1,8/4/2015,0.03,1,0
2037816,Double-bed room in spacious rooftop apartment.,10131971,Friedrichshainerin,Friedrichshain-Kreuzberg,Frankfurter Allee SÃ¼d FK,52.50937383,13.45693433,Private room,55,3,51,6/19/2018,0.93,1,128
